episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
37,DC,DC,2011.6683,516.0,0.0,0.0,190.0,0.0,15.0,70.0,0.0,2802.6683,56.8,7,1.0
37,RR,RR,1322.2424,120.0,0.0,0.0,80.0,-10.0,-5.0,150.0,0.0,1657.2424,75.5,3,0.625
37,PBKS,PBKS,1088.1081,450.0,0.0,0.0,180.0,0.0,15.0,105.0,0.0,1838.1081,36.7,5,1.0
37,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,90.0,0.0,85.0,63.3,6,0.875
28,MI,MI,754.2782,849.0,0.0,0.0,220.0,0.0,-5.0,215.0,0.0,2033.2782,3.33,2,0.5
28,CSK,CSK,1766.8896,255.0,0.0,0.0,120.0,-10.0,-5.0,40.0,0.0,2166.8896,69.4,8,0.875
28,RCB,RCB,481.7975,741.0,0.0,0.0,210.0,0.0,-5.0,105.0,0.0,1532.7975,0.55,5,0.875
28,KKR,KKR,1417.216,594.0,0.0,0.0,230.0,0.0,-5.0,150.0,0.0,2386.216,40.8,4,0.5
28,DC,DC,2399.7512,555.0,0.0,0.0,180.0,0.0,15.0,150.0,0.0,3299.7512,62.0,3,1.0
28,RR,RR,1989.7671,231.0,0.0,0.0,140.0,-10.0,-5.0,40.0,0.0,2385.7671,71.7,7,0.625
28,PBKS,PBKS,1821.2442,624.0,0.0,0.0,210.0,0.0,-5.0,330.0,0.0,2980.2442,48.5,1,0.75
28,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,90.0,0.0,85.0,58.0,6,0.875
27,MI,MI,754.2782,849.0,0.0,0.0,220.0,0.0,-5.0,215.0,0.0,2033.2782,3.33,2,0.5
27,CSK,CSK,1766.8896,255.0,0.0,0.0,120.0,-10.0,-5.0,40.0,0.0,2166.8896,69.4,8,0.875
27,RCB,RCB,481.7975,741.0,0.0,0.0,210.0,0.0,-5.0,105.0,0.0,1532.7975,0.55,5,0.875
27,KKR,KKR,1417.216,594.0,0.0,0.0,230.0,0.0,-5.0,150.0,0.0,2386.216,40.8,4,0.5
27,DC,DC,2399.7512,555.0,0.0,0.0,180.0,0.0,15.0,150.0,0.0,3299.7512,62.0,3,1.0
27,RR,RR,1989.7671,231.0,0.0,0.0,140.0,-10.0,-5.0,40.0,0.0,2385.7671,71.7,7,0.625
27,PBKS,PBKS,1821.2442,624.0,0.0,0.0,210.0,0.0,-5.0,330.0,0.0,2980.2442,48.5,1,0.75
27,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,90.0,0.0,85.0,58.0,6,0.875
39,MI,MI,517.1754,645.0,0.0,0.0,180.0,0.0,-5.0,135.0,0.0,1472.1754,0.75,4,0.75
39,CSK,CSK,2654.1752,384.0,0.0,0.0,170.0,0.0,-5.0,315.0,0.0,3518.1752,63.5,2,0.8125
39,RCB,RCB,437.0275,645.0,0.0,0.0,200.0,0.0,-5.0,90.0,0.0,1367.0275,0.88,6,0.6875
39,KKR,KKR,1477.0979,564.0,0.0,0.0,200.0,0.0,-5.0,150.0,0.0,2386.0979,38.1,3,0.5
39,DC,DC,2078.0335,594.0,0.0,0.0,240.0,0.0,15.0,55.0,0.0,2982.0335,54.6,7,1.0
39,RR,RR,1760.3943,210.0,0.0,0.0,130.0,-10.0,-5.0,105.0,0.0,2190.3943,76.5,5,0.6875
39,PBKS,PBKS,1140.6564,480.0,0.0,0.0,140.0,0.0,15.0,230.0,0.0,2005.6564,43.1,1,0.75
39,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,0.0,55.0,61.1,8,1.0
38,MI,MI,517.1754,645.0,0.0,0.0,180.0,0.0,-5.0,135.0,0.0,1472.1754,0.75,4,0.75
38,CSK,CSK,2654.1752,384.0,0.0,0.0,170.0,0.0,-5.0,315.0,0.0,3518.1752,63.5,2,0.8125
38,RCB,RCB,437.0275,645.0,0.0,0.0,200.0,0.0,-5.0,90.0,0.0,1367.0275,0.88,6,0.6875
